Benchmark,S-Base,S-Opt,S-Rem,S-Red%,D-Base,D-Opt,D-Rem,D-Red%
correlation,56,35,21,38,1507504000,1004502000,503002000,33
covariance,44,29,15,34,1506503000,1004502000,502001000,33
2mm,28,21,7,25,6448742400,4300210176,2148532224,33
3mm,34,26,8,24,9669967872,6448742400,3221225472,33
atax,34,23,11,32,80010000,56006000,24004000,30
bicg,25,17,8,32,136010000,72010000,64000000,47
cholesky,28,27,1,4,359488512,358964736,523776,0
doitgen,34,30,4,12,810565632,542130176,268435456,33
gemm,21,16,5,24,3226468352,2151677952,1074790400,33
gemver,75,56,19,25,136054000,96052000,40002000,29
gesummv,25,17,8,32,144020000,64012000,80008000,56
mvt,27,21,6,22,104024000,72024000,32000000,31
symm,25,20,5,20,3218085888,2146439168,1071646720,33
syr2k,30,22,8,27,6446645248,4298637312,2148007936,33
syrk,26,18,8,31,3225419776,2151153664,1074266112,33
trisolv,22,17,5,23,32018000,24016000,8002000,25
trmm,23,18,5,22,1611136000,1074789376,536346624,33
durbin,66,59,7,11,72039996,64033997,8005999,11
dynprog,24,23,1,4,648771400,648771400,0,0
gramschmidt,58,38,20,34,403571200,269484288,134086912,33
lu,34,24,10,29,1431394304,895178496,536215808,37
ludcmp,51,47,4,8,722658826,721609225,1049601,0
floyd-warshall,24,17,7,29,4296015872,2685403136,1610612736,37
reg_detect,736,642,94,13,31290108,30440108,850000,3
adi,99,68,31,31,944369664,603915264,340454400,36
fdtd-2d,86,70,16,19,351775250,276725300,75049950,21
fdtd-apml,121,83,38,31,632032907,429330059,202702848,32
jacobi-1d-imper,53,51,2,4,3010000,3010000,0,0
jacobi-2d-imper,47,45,2,4,80840000,80840000,0,0
seidel-2d,19,17,2,11,80300080,80300080,0,0
