Benchmark,Baseline(s),ASan(s),ToolBase(s),ToolOpt(s),Speedup(x),Overhead(x),ASan_OH(x),Speedup_v_ASan(x)
correlation,0.30,0.59,1.86,1.23,1.51,4.10,1.97,0.48
covariance,0.31,0.50,1.85,1.24,1.49,4.00,1.61,0.40
2mm,4.23,4.39,8.16,5.48,1.49,1.30,1.04,0.80
3mm,6.76,6.55,11.85,8.31,1.43,1.23,0.97,0.79
atax,0.05,0.07,0.14,0.11,1.27,2.20,1.40,0.64
bicg,0.07,0.07,0.20,0.12,1.67,1.71,1.00,0.58
cholesky,0.07,0.09,0.48,0.48,1.00,6.86,1.29,0.19
doitgen,0.13,0.19,1.05,0.68,1.54,5.23,1.46,0.28
gemm,2.25,2.22,4.20,2.72,1.54,1.21,0.99,0.82
gemver,0.11,0.15,0.21,0.17,1.24,1.55,1.36,0.88
gesummv,0.09,0.11,0.24,0.14,1.71,1.56,1.22,0.79
mvt,0.11,0.15,0.17,0.14,1.21,1.27,1.36,1.07
symm,3.18,3.57,3.91,3.63,1.08,1.14,1.12,0.98
syr2k,0.80,1.21,8.66,5.60,1.55,7.00,1.51,0.22
syrk,0.41,0.62,4.29,2.89,1.48,7.05,1.51,0.21
trisolv,0.04,0.06,0.07,0.06,1.17,1.50,1.50,1.00
trmm,0.21,0.35,2.12,1.43,1.48,6.81,1.67,0.24
durbin,0.12,0.22,0.16,0.15,1.07,1.25,1.83,1.47
dynprog,0.05,0.19,0.74,0.75,0.99,15.00,3.80,0.25
gramschmidt,0.31,0.33,0.61,0.45,1.36,1.45,1.06,0.73
lu,0.11,0.26,1.88,1.15,1.63,10.45,2.36,0.23
ludcmp,0.14,0.25,0.94,0.94,1.00,6.71,1.79,0.27
floyd-warshall,0.33,0.62,5.87,3.43,1.71,10.39,1.88,0.18
reg_detect,0.01,0.03,0.04,0.04,1.00,4.00,3.00,0.75
adi,0.35,0.36,1.27,0.89,1.43,2.54,1.03,0.40
fdtd-2d,0.06,0.10,0.45,0.34,1.32,5.67,1.67,0.29
fdtd-apml,0.26,0.31,0.97,0.64,1.52,2.46,1.19,0.48
jacobi-1d-imper,0.01,0.02,0.01,0.01,1.00,1.00,2.00,2.00
jacobi-2d-imper,0.02,0.04,0.10,0.10,1.00,5.00,2.00,0.40
seidel-2d,0.11,0.12,0.19,0.19,1.00,1.73,1.09,0.63
